ID_powiatu,year,p2596-parki-zieleńce-i-tereny-zieleni-osiedlowej-powierzchnia
011212001000,2004,70.2
011212001000,2005,55.3
011212001000,2006,55.3
011212001000,2007,50.6
011212001000,2008,52.4
011212001000,2009,53.4
011212001000,2010,54.6
011212001000,2011,56.8
011212001000,2012,56.9
011212001000,2013,54.38
011212001000,2014,54.92
011212001000,2015,55.6
011212001000,2016,57.24
011212001000,2017,65.24
011212001000,2018,64.93
011212001000,2019,68.15
011212001000,2020,68.15
011212006000,2004,74.2
011212006000,2005,85.9
011212006000,2006,89.3
011212006000,2007,110.7
011212006000,2008,118.6
011212006000,2009,128.3
011212006000,2010,128.6
011212006000,2011,132.7
011212006000,2012,136.8
011212006000,2013,141.61
011212006000,2014,141.61
011212006000,2015,150.69
011212006000,2016,142.56
011212006000,2017,142.56
011212006000,2018,142.41
011212006000,2019,142.41
011212006000,2020,142.41
011212008000,2004,31.6
011212008000,2005,30.8
011212008000,2006,30.8
011212008000,2007,30.6
011212008000,2008,30.6
011212008000,2009,30.5
011212008000,2010,30.5
011212008000,2011,31.7
011212008000,2012,31.7
011212008000,2013,30.26
011212008000,2014,30.26
011212008000,2015,35.48
011212008000,2016,32.8
011212008000,2017,32.8
011212008000,2018,33.36
011212008000,2019,33.36
011212008000,2020,33.36
011212009000,2004,26.9
011212009000,2005,28.9
011212009000,2006,28.9
011212009000,2007,31.8
011212009000,2008,31.8
011212009000,2009,31.0
011212009000,2010,31.0
011212009000,2011,33.8
011212009000,2012,33.8
011212009000,2013,31.57
011212009000,2014,31.57
011212009000,2015,32.69
011212009000,2016,43.39
011212009000,2017,43.39
011212009000,2018,36.09
011212009000,2019,36.09
011212009000,2020,36.09
011212014000,2004,7.7
011212014000,2005,9.0
011212014000,2006,9.0
011212014000,2007,7.7
011212014000,2008,11.2
011212014000,2009,11.8
011212014000,2010,11.8
011212014000,2011,12.3
011212014000,2012,12.3
011212014000,2013,10.7
011212014000,2014,10.7
011212014000,2015,11.38
011212014000,2016,12.76
011212014000,2017,12.76
011212014000,2018,12.61
011212014000,2019,12.51
011212014000,2020,12.51
011212019000,2004,107.4
011212019000,2005,112.7
011212019000,2006,118.0
011212019000,2007,132.3
011212019000,2008,132.4
011212019000,2009,126.5
011212019000,2010,127.0
011212019000,2011,128.6
011212019000,2012,128.6
011212019000,2013,120.68
011212019000,2014,120.68
011212019000,2015,125.75
011212019000,2016,129.93
011212019000,2017,129.93
011212019000,2018,125.86
011212019000,2019,126.06
011212019000,2020,129.36
011212161000,2004,1243.6
011212161000,2005,1298.4
011212161000,2006,1298.4
011212161000,2007,1355.5
011212161000,2008,1383.3
011212161000,2009,1510.2
011212161000,2010,1627.4
011212161000,2011,1487.9
011212161000,2012,1487.9
011212161000,2013,1558.56
011212161000,2014,1553.24
011212161000,2015,1591.69
011212161000,2016,1673.61
011212161000,2017,1716.25
011212161000,2018,1797.04
011212161000,2019,1895.95
011212161000,2020,1923.28
011212205000,2004,57.7
011212205000,2005,56.5
011212205000,2006,56.5
011212205000,2007,57.9
011212205000,2008,57.9
011212205000,2009,60.5
011212205000,2010,60.5
011212205000,2011,62.4
011212205000,2012,63.3
011212205000,2013,62.58
011212205000,2014,62.58
011212205000,2015,63.27
011212205000,2016,63.77
011212205000,2017,63.77
011212205000,2018,66.88
011212205000,2019,66.88
011212205000,2020,66.88
011212207000,2004,25.8
011212207000,2005,27.1
011212207000,2006,27.1
011212207000,2007,27.1
011212207000,2008,27.1
011212207000,2009,35.9
011212207000,2010,36.3
011212207000,2011,24.3
011212207000,2012,24.3
011212207000,2013,26.05
011212207000,2014,26.05
011212207000,2015,25.82
011212207000,2016,26.83
011212207000,2017,26.93
011212207000,2018,28.03
011212207000,2019,28.53
011212207000,2020,28.53
011212210000,2004,462.3
011212210000,2005,476.1
011212210000,2006,476.4
011212210000,2007,480.5
011212210000,2008,449.9
011212210000,2009,398.7
011212210000,2010,401.3
011212210000,2011,404.1
011212210000,2012,409.9
011212210000,2013,427.35
011212210000,2014,429.55
011212210000,2015,431.5
011212210000,2016,434.64
011212210000,2017,434.65
011212210000,2018,436.4
011212210000,2019,439.1
011212210000,2020,439.1
011212262000,2004,93.5
011212262000,2005,94.1
011212262000,2006,94.1
011212262000,2007,93.7
011212262000,2008,93.7
011212262000,2009,94.7
011212262000,2010,94.7
011212262000,2011,90.1
011212262000,2012,90.1
011212262000,2013,92.86
011212262000,2014,92.86
011212262000,2015,109.97
011212262000,2016,112.04
011212262000,2017,112.04
011212262000,2018,100.01
011212262000,2019,100.01
011212262000,2020,100.01
011212303000,2004,216.1
011212303000,2005,301.7
011212303000,2006,302.9
011212303000,2007,302.8
011212303000,2008,303.6
011212303000,2009,306.0
011212303000,2010,307.4
011212303000,2011,328.0
011212303000,2012,328.2
011212303000,2013,354.21
011212303000,2014,303.41
011212303000,2015,246.72
011212303000,2016,246.19
011212303000,2017,280.48
011212303000,2018,291.35
011212303000,2019,291.41
011212303000,2020,291.41
011212312000,2004,153.5
011212312000,2005,153.5
011212312000,2006,153.5
011212312000,2007,119.9
011212312000,2008,119.9
011212312000,2009,115.5
011212312000,2010,115.5
011212312000,2011,122.3
011212312000,2012,122.3
011212312000,2013,127.15
011212312000,2014,127.15
011212312000,2015,127.51
011212312000,2016,122.95
011212312000,2017,122.95
011212312000,2018,113.16
011212312000,2019,118.09
011212312000,2020,118.09
011212313000,2004,169.3
011212313000,2005,173.2
011212313000,2006,188.8
011212313000,2007,188.3
011212313000,2008,188.3
011212313000,2009,187.1
011212313000,2010,187.1
011212313000,2011,189.8
011212313000,2012,198.8
011212313000,2013,201.67
011212313000,2014,201.67
011212313000,2015,207.77
011212313000,2016,204.45
011212313000,2017,204.45
011212313000,2018,206.29
011212313000,2019,206.56
011212313000,2020,206.56
011212318000,2004,49.9
011212318000,2005,65.6
011212318000,2006,65.8
011212318000,2007,266.9
011212318000,2008,78.7
011212318000,2009,86.8
011212318000,2010,87.5
011212318000,2011,84.2
011212318000,2012,88.3
011212318000,2013,88.95
011212318000,2014,91.9
011212318000,2015,102.43
011212318000,2016,101.54
011212318000,2017,101.54
011212318000,2018,100.88
011212318000,2019,101.31
011212318000,2020,101.31
011212402000,2004,14.3
011212402000,2005,17.5
011212402000,2006,17.5
011212402000,2007,20.1
011212402000,2008,20.1
011212402000,2009,23.6
011212402000,2010,25.5
011212402000,2011,28.9
011212402000,2012,28.9
011212402000,2013,27.09
011212402000,2014,27.09
011212402000,2015,34.23
011212402000,2016,35.12
011212402000,2017,35.12
011212402000,2018,35.41
011212402000,2019,36.11
011212402000,2020,36.11
011212404000,2004,11.3
011212404000,2005,10.8
011212404000,2006,10.9
011212404000,2007,11.6
011212404000,2008,11.6
011212404000,2009,14.1
011212404000,2010,14.1
011212404000,2011,13.7
011212404000,2012,13.7
011212404000,2013,14.0
011212404000,2014,14.0
011212404000,2015,16.69
011212404000,2016,15.92
011212404000,2017,15.92
011212404000,2018,17.12
011212404000,2019,17.12
011212404000,2020,17.12
011212416000,2004,7.5
011212416000,2005,12.2
011212416000,2006,12.2
011212416000,2007,15.8
011212416000,2008,14.8
011212416000,2009,17.4
011212416000,2010,16.9
011212416000,2011,25.6
011212416000,2012,47.9
011212416000,2013,49.66
011212416000,2014,49.66
011212416000,2015,48.96
011212416000,2016,48.26
011212416000,2017,48.26
011212416000,2018,49.76
011212416000,2019,49.76
011212416000,2020,49.76
011212463000,2004,181.0
011212463000,2005,128.9
011212463000,2006,128.9
011212463000,2007,127.4
011212463000,2008,127.4
011212463000,2009,133.2
011212463000,2010,133.2
011212463000,2011,136.1
011212463000,2012,136.1
011212463000,2013,136.96
011212463000,2014,136.96
011212463000,2015,127.84
011212463000,2016,136.24
011212463000,2017,136.24
011212463000,2018,131.93
011212463000,2019,131.93
011212463000,2020,131.93
011216911000,2004,105.4
011216911000,2005,107.2
011216911000,2006,107.2
011216911000,2007,109.3
011216911000,2008,91.3
011216911000,2009,106.9
011216911000,2010,106.9
011216911000,2011,105.8
011216911000,2012,105.8
011216911000,2013,105.18
011216911000,2014,105.18
011216911000,2015,97.33
011216911000,2016,100.72
011216911000,2017,99.34
011216911000,2018,97.16
011216911000,2019,98.81
011216911000,2020,110.82
011216915000,2004,18.1
011216915000,2005,18.3
011216915000,2006,18.3
011216915000,2007,17.1
011216915000,2008,15.9
011216915000,2009,18.8
011216915000,2010,18.8
011216915000,2011,19.7
011216915000,2012,19.7
011216915000,2013,17.0
011216915000,2014,17.0
011216915000,2015,19.27
011216915000,2016,20.33
011216915000,2017,20.33
011216915000,2018,18.66
011216915000,2019,18.66
011216915000,2020,18.66
011216917000,2004,27.8
011216917000,2005,26.6
011216917000,2006,26.6
011216917000,2007,28.8
011216917000,2008,28.8
011216917000,2009,28.7
011216917000,2010,28.7
011216917000,2011,32.3
011216917000,2012,34.9
011216917000,2013,49.84
011216917000,2014,49.84
011216917000,2015,57.46
011216917000,2016,79.4
011216917000,2017,79.64
011216917000,2018,52.89
011216917000,2019,52.65
011216917000,2020,52.65
012414402000,2004,59.0
012414402000,2005,79.2
012414402000,2006,79.2
012414402000,2007,98.7
012414402000,2008,87.2
012414402000,2009,77.9
012414402000,2010,81.5
012414402000,2011,74.1
012414402000,2012,75.3
012414402000,2013,84.15
012414402000,2014,85.9
012414402000,2015,84.46
012414402000,2016,84.31
012414402000,2017,84.31
012414402000,2018,88.1
012414402000,2019,88.1
012414402000,2020,88.25
012414403000,2004,152.4
012414403000,2005,157.7
012414403000,2006,162.9
012414403000,2007,168.6
012414403000,2008,168.6
012414403000,2009,216.5
012414403000,2010,216.8
012414403000,2011,202.7
012414403000,2012,203.9
012414403000,2013,202.31
012414403000,2014,202.74
012414403000,2015,203.43
012414403000,2016,200.56
012414403000,2017,200.86
012414403000,2018,210.93
012414403000,2019,212.15
012414403000,2020,212.35
012414417000,2004,69.4
012414417000,2005,76.3
012414417000,2006,79.0
012414417000,2007,84.0
012414417000,2008,90.0
012414417000,2009,102.9
012414417000,2010,105.2
012414417000,2011,111.9
012414417000,2012,111.9
012414417000,2013,110.51
012414417000,2014,110.51
012414417000,2015,105.02
012414417000,2016,108.52
012414417000,2017,108.56
012414417000,2018,110.46
012414417000,2019,111.16
012414417000,2020,111.16
012414461000,2004,180.0
012414461000,2005,177.3
012414461000,2006,177.1
012414461000,2007,175.3
012414461000,2008,175.3
012414461000,2009,186.5
012414461000,2010,186.4
012414461000,2011,225.0
012414461000,2012,225.0
012414461000,2013,167.95
012414461000,2014,168.45
012414461000,2015,198.41
012414461000,2016,215.84
012414461000,2017,217.63
012414461000,2018,214.97
012414461000,2019,238.69
012414461000,2020,258.53
012414507000,2004,85.5
012414507000,2005,82.1
012414507000,2006,82.1
012414507000,2007,103.6
012414507000,2008,103.9
012414507000,2009,110.0
012414507000,2010,115.4
012414507000,2011,113.9
012414507000,2012,113.9
012414507000,2013,111.75
012414507000,2014,120.85
012414507000,2015,121.25
012414507000,2016,121.09
012414507000,2017,125.87
012414507000,2018,126.72
012414507000,2019,129.75
012414507000,2020,131.17
012414513000,2004,1010.8
012414513000,2005,498.9
012414513000,2006,498.9
012414513000,2007,503.3
012414513000,2008,504.5
012414513000,2009,514.3
012414513000,2010,542.7
012414513000,2011,551.8
012414513000,2012,551.5
012414513000,2013,552.44
012414513000,2014,552.6
012414513000,2015,551.49
012414513000,2016,553.68
012414513000,2017,555.43
012414513000,2018,545.3
012414513000,2019,550.59
012414513000,2020,551.76
012414562000,2004,352.3
012414562000,2005,347.9
012414562000,2006,347.9
012414562000,2007,313.5
012414562000,2008,285.6
012414562000,2009,319.3
012414562000,2010,335.9
012414562000,2011,331.4
012414562000,2012,331.4
012414562000,2013,323.19
012414562000,2014,323.19
012414562000,2015,286.4
012414562000,2016,299.6
012414562000,2017,299.6
012414562000,2018,349.74
012414562000,2019,349.74
012414562000,2020,394.77
012414571000,2004,82.6
012414571000,2005,90.6
012414571000,2006,90.6
012414571000,2007,100.7
012414571000,2008,100.7
012414571000,2009,90.8
012414571000,2010,90.8
012414571000,2011,93.7
012414571000,2012,93.7
012414571000,2013,98.66
012414571000,2014,98.66
012414571000,2015,93.4
012414571000,2016,95.88
012414571000,2017,96.88
012414571000,2018,89.97
012414571000,2019,89.97
012414571000,2020,89.97
012414604000,2004,35.4
012414604000,2005,39.2
012414604000,2006,50.4
012414604000,2007,49.3
012414604000,2008,49.3
012414604000,2009,54.1
012414604000,2010,54.1
012414604000,2011,48.5
012414604000,2012,48.8
012414604000,2013,57.44
012414604000,2014,57.74
012414604000,2015,59.95
012414604000,2016,62.69
012414604000,2017,62.69
012414604000,2018,64.57
012414604000,2019,64.57
012414604000,2020,64.57
012414606000,2004,29.1
012414606000,2005,32.7
012414606000,2006,32.7
012414606000,2007,29.7
012414606000,2008,29.7
012414606000,2009,32.5
012414606000,2010,33.2
012414606000,2011,32.3
012414606000,2012,32.3
012414606000,2013,30.24
012414606000,2014,30.24
012414606000,2015,31.98
012414606000,2016,33.71
012414606000,2017,33.71
012414606000,2018,35.13
012414606000,2019,35.13
012414606000,2020,35.13
012414609000,2004,63.0
012414609000,2005,35.0
012414609000,2006,39.2
012414609000,2007,37.4
012414609000,2008,37.4
012414609000,2009,43.4
012414609000,2010,43.4
012414609000,2011,39.0
012414609000,2012,39.0
012414609000,2013,31.78
012414609000,2014,31.78
012414609000,2015,46.9
012414609000,2016,35.64
012414609000,2017,35.64
012414609000,2018,33.31
012414609000,2019,33.31
012414609000,2020,34.74
012414664000,2004,416.3
012414664000,2005,553.9
012414664000,2006,555.1
012414664000,2007,429.5
012414664000,2008,456.6
012414664000,2009,449.6
012414664000,2010,450.9
012414664000,2011,482.4
012414664000,2012,483.0
012414664000,2013,488.56
012414664000,2014,487.33
012414664000,2015,486.8
012414664000,2016,505.09
012414664000,2017,505.46
012414664000,2018,492.92
012414664000,2019,474.86
012414664000,2020,474.38
012414705000,2004,170.7
012414705000,2005,144.9
012414705000,2006,150.1
012414705000,2007,168.1
012414705000,2008,169.3
012414705000,2009,165.1
012414705000,2010,165.2
012414705000,2011,198.2
012414705000,2012,198.2
012414705000,2013,209.16
012414705000,2014,211.29
012414705000,2015,162.75
012414705000,2016,197.78
012414705000,2017,197.78
012414705000,2018,221.48
012414705000,2019,224.28
012414705000,2020,222.16
012414766000,2004,532.0
012414766000,2005,398.7
012414766000,2006,406.7
012414766000,2007,464.2
012414766000,2008,407.1
012414766000,2009,365.8
012414766000,2010,409.8
012414766000,2011,492.7
012414766000,2012,491.2
012414766000,2013,438.09
012414766000,2014,426.91
012414766000,2015,412.2
012414766000,2016,374.49
012414766000,2017,381.97
012414766000,2018,425.72
012414766000,2019,425.88
012414766000,2020,422.32
012414778000,2004,224.3
012414778000,2005,270.0
012414778000,2006,272.0
012414778000,2007,228.7
012414778000,2008,219.0
012414778000,2009,276.9
012414778000,2010,276.9
012414778000,2011,265.1
012414778000,2012,268.0
012414778000,2013,281.57
012414778000,2014,330.21
012414778000,2015,305.06
012414778000,2016,358.74
012414778000,2017,366.89
012414778000,2018,341.51
012414778000,2019,350.28
012414778000,2020,350.31
012414863000,2004,741.7
012414863000,2005,771.7
012414863000,2006,774.3
012414863000,2007,726.0
012414863000,2008,766.5
012414863000,2009,761.4
012414863000,2010,728.4
012414863000,2011,735.7
012414863000,2012,743.0
012414863000,2013,736.98
012414863000,2014,736.48
012414863000,2015,712.9
012414863000,2016,704.89
012414863000,2017,704.89
012414863000,2018,693.94
012414863000,2019,693.94
012414863000,2020,692.82
012414869000,2004,1009.2
012414869000,2005,1120.1
012414869000,2006,1121.3
012414869000,2007,1058.8
012414869000,2008,1060.3
012414869000,2009,1055.1
012414869000,2010,1055.1
012414869000,2011,1029.8
012414869000,2012,1029.8
012414869000,2013,1038.17
012414869000,2014,1038.17
012414869000,2015,1024.26
012414869000,2016,1093.14
012414869000,2017,591.64
012414869000,2018,549.88
012414869000,2019,553.17
012414869000,2020,551.79
012414870000,2004,72.5
012414870000,2005,73.2
012414870000,2006,73.2
012414870000,2007,77.5
012414870000,2008,77.5
012414870000,2009,77.4
012414870000,2010,77.4
012414870000,2011,93.4
012414870000,2012,93.4
012414870000,2013,77.26
012414870000,2014,77.26
012414870000,2015,72.55
012414870000,2016,69.15
012414870000,2017,69.15
012414870000,2018,77.71
012414870000,2019,77.71
012414870000,2020,87.91
012414872000,2004,327.0
012414872000,2005,387.1
012414872000,2006,401.7
012414872000,2007,413.3
012414872000,2008,413.7
012414872000,2009,383.3
012414872000,2010,383.3
012414872000,2011,389.4
012414872000,2012,382.4
012414872000,2013,313.98
012414872000,2014,313.98
012414872000,2015,317.01
012414872000,2016,320.92
012414872000,2017,322.72
012414872000,2018,320.98
012414872000,2019,320.98
012414872000,2020,320.98
012414874000,2004,224.9
012414874000,2005,249.1
012414874000,2006,249.1
012414874000,2007,235.5
012414874000,2008,235.5
012414874000,2009,233.0
012414874000,2010,233.0
012414874000,2011,234.3
012414874000,2012,234.3
012414874000,2013,237.27
012414874000,2014,237.27
012414874000,2015,239.3
012414874000,2016,243.75
012414874000,2017,243.66
012414874000,2018,243.9
012414874000,2019,243.9
012414874000,2020,243.9
012414876000,2004,316.0
012414876000,2005,306.8
012414876000,2006,306.8
012414876000,2007,315.9
012414876000,2008,315.9
012414876000,2009,228.6
012414876000,2010,99.5
012414876000,2011,183.9
012414876000,2012,183.9
012414876000,2013,90.88
012414876000,2014,90.88
012414876000,2015,92.97
012414876000,2016,97.33
012414876000,2017,97.33
012414876000,2018,93.29
012414876000,2019,93.29
012414876000,2020,93.29
012414911000,2004,109.5
012414911000,2005,112.0
012414911000,2006,112.7
012414911000,2007,141.1
012414911000,2008,141.6
012414911000,2009,135.8
012414911000,2010,142.4
012414911000,2011,121.8
012414911000,2012,121.4
012414911000,2013,137.45
012414911000,2014,135.36
012414911000,2015,136.88
012414911000,2016,138.04
012414911000,2017,138.88
012414911000,2018,136.87
012414911000,2019,137.06
012414911000,2020,136.8
012414912000,2004,64.7
012414912000,2005,65.0
012414912000,2006,65.0
012414912000,2007,70.1
012414912000,2008,70.1
012414912000,2009,70.7
012414912000,2010,70.7
012414912000,2011,48.6
012414912000,2012,48.6
012414912000,2013,43.36
012414912000,2014,43.4
012414912000,2015,44.68
012414912000,2016,52.71
012414912000,2017,53.15
012414912000,2018,52.71
012414912000,2019,52.71
012414912000,2020,52.95
012414915000,2004,118.2
012414915000,2005,138.1
012414915000,2006,139.9
012414915000,2007,187.1
012414915000,2008,189.2
012414915000,2009,212.8
012414915000,2010,204.6
012414915000,2011,209.4
012414915000,2012,209.6
012414915000,2013,210.37
012414915000,2014,210.41
012414915000,2015,232.2
012414915000,2016,236.12
012414915000,2017,236.82
012414915000,2018,235.8
012414915000,2019,247.91
012414915000,2020,247.91
012414967000,2004,144.2
012414967000,2005,135.1
012414967000,2006,135.1
012414967000,2007,140.2
012414967000,2008,140.2
012414967000,2009,137.5
012414967000,2010,137.5
012414967000,2011,133.8
012414967000,2012,161.5
012414967000,2013,166.36
012414967000,2014,166.36
012414967000,2015,166.78
012414967000,2016,166.13
012414967000,2017,166.13
012414967000,2018,172.06
012414967000,2019,172.06
012414967000,2020,168.47
012414973000,2004,265.0
012414973000,2005,264.4
012414973000,2006,264.4
012414973000,2007,305.0
012414973000,2008,305.0
012414973000,2009,309.6
012414973000,2010,309.6
012414973000,2011,313.1
012414973000,2012,313.1
012414973000,2013,316.79
012414973000,2014,316.79
012414973000,2015,321.37
012414973000,2016,315.73
012414973000,2017,315.5
012414973000,2018,331.54
012414973000,2019,172.24
012414973000,2020,169.23
012414979000,2004,194.3
012414979000,2005,199.6
012414979000,2006,199.9
012414979000,2007,200.5
012414979000,2008,200.5
012414979000,2009,200.3
012414979000,2010,200.3
012414979000,2011,200.1
012414979000,2012,200.1
012414979000,2013,203.32
012414979000,2014,203.32
012414979000,2015,203.23
012414979000,2016,200.17
012414979000,2017,200.17
012414979000,2018,198.96
012414979000,2019,198.96
012414979000,2020,198.96
012415001000,2004,336.0
012415001000,2005,346.4
012415001000,2006,346.1
012415001000,2007,361.1
012415001000,2008,361.1
012415001000,2009,351.5
012415001000,2010,343.5
012415001000,2011,418.4
012415001000,2012,420.0
012415001000,2013,400.43
012415001000,2014,400.43
012415001000,2015,399.73
012415001000,2016,387.45
012415001000,2017,387.13
012415001000,2018,387.62
012415001000,2019,382.34
012415001000,2020,382.34
012415016000,2004,162.7
012415016000,2005,132.5
012415016000,2006,136.5
012415016000,2007,162.1
012415016000,2008,161.8
012415016000,2009,161.0
012415016000,2010,154.3
012415016000,2011,161.9
012415016000,2012,164.4
012415016000,2013,184.35
012415016000,2014,184.35
012415016000,2015,195.59
012415016000,2016,192.45
012415016000,2017,188.34
012415016000,2018,189.43
012415016000,2019,190.87
012415016000,2020,191.57
012415065000,2004,431.4
012415065000,2005,441.4
012415065000,2006,441.4
012415065000,2007,467.6
012415065000,2008,467.6
012415065000,2009,440.0
012415065000,2010,440.0
012415065000,2011,452.9
012415065000,2012,452.9
012415065000,2013,451.59
012415065000,2014,451.59
012415065000,2015,451.44
012415065000,2016,453.61
012415065000,2017,453.61
012415065000,2018,456.39
012415065000,2019,456.39
012415065000,2020,456.39
012415068000,2004,276.9
012415068000,2005,275.9
012415068000,2006,264.9
012415068000,2007,250.7
012415068000,2008,256.2
012415068000,2009,286.0
012415068000,2010,281.6
012415068000,2011,273.1
012415068000,2012,272.2
012415068000,2013,282.9
012415068000,2014,279.96
012415068000,2015,254.55
012415068000,2016,247.42
012415068000,2017,247.42
012415068000,2018,266.25
012415068000,2019,252.47
012415068000,2020,316.6
012415075000,2004,583.9
012415075000,2005,599.0
012415075000,2006,619.0
012415075000,2007,571.3
012415075000,2008,571.3
012415075000,2009,476.1
012415075000,2010,476.1
012415075000,2011,531.0
012415075000,2012,531.0
012415075000,2013,470.13
012415075000,2014,470.13
012415075000,2015,458.07
012415075000,2016,449.17
012415075000,2017,449.17
012415075000,2018,458.35
012415075000,2019,458.35
012415075000,2020,458.35
012415108000,2004,82.9
012415108000,2005,90.6
012415108000,2006,88.1
012415108000,2007,91.3
012415108000,2008,91.7
012415108000,2009,92.7
012415108000,2010,98.5
012415108000,2011,95.8
012415108000,2012,95.8
012415108000,2013,94.97
012415108000,2014,94.97
012415108000,2015,95.34
012415108000,2016,135.91
012415108000,2017,136.61
012415108000,2018,132.23
012415108000,2019,132.23
012415108000,2020,132.47
012415110000,2004,210.6
012415110000,2005,224.1
012415110000,2006,235.9
012415110000,2007,258.4
012415110000,2008,281.8
012415110000,2009,279.2
012415110000,2010,279.2
012415110000,2011,268.1
012415110000,2012,269.2
012415110000,2013,267.88
012415110000,2014,267.88
012415110000,2015,265.06
012415110000,2016,273.91
012415110000,2017,273.91
012415110000,2018,273.32
012415110000,2019,273.32
012415110000,2020,273.32
012415114000,2004,74.3
012415114000,2005,74.5
012415114000,2006,78.2
012415114000,2007,75.7
012415114000,2008,75.7
012415114000,2009,84.5
012415114000,2010,84.5
012415114000,2011,81.4
012415114000,2012,81.4
012415114000,2013,82.53
012415114000,2014,82.53
012415114000,2015,90.89
012415114000,2016,92.05
012415114000,2017,92.05
012415114000,2018,92.23
012415114000,2019,92.23
012415114000,2020,92.23
012415177000,2004,510.9
012415177000,2005,404.9
012415177000,2006,404.9
012415177000,2007,385.7
012415177000,2008,385.7
012415177000,2009,410.3
012415177000,2010,411.4
012415177000,2011,380.1
012415177000,2012,410.2
012415177000,2013,387.22
012415177000,2014,387.43
012415177000,2015,394.12
012415177000,2016,402.38
012415177000,2017,392.13
012415177000,2018,402.86
012415177000,2019,375.85
012415177000,2020,375.9
020811301000,2004,102.5
020811301000,2005,98.9
020811301000,2006,113.9
020811301000,2007,117.5
020811301000,2008,117.1
020811301000,2009,117.9
020811301000,2010,117.9
020811301000,2011,115.5
020811301000,2012,116.6
020811301000,2013,117.08
020811301000,2014,117.08
020811301000,2015,120.23
020811301000,2016,124.85
020811301000,2017,124.85
020811301000,2018,120.6
020811301000,2019,120.6
020811301000,2020,120.6
020811303000,2004,44.2
020811303000,2005,50.1
020811303000,2006,52.9
020811303000,2007,56.4
020811303000,2008,88.8
020811303000,2009,95.9
020811303000,2010,95.9
020811303000,2011,94.6
020811303000,2012,94.6
020811303000,2013,93.28
020811303000,2014,93.28
020811303000,2015,99.0
020811303000,2016,98.55
020811303000,2017,98.55
020811303000,2018,132.68
020811303000,2019,132.68
020811303000,2020,132.68
020811305000,2004,54.5
020811305000,2005,56.6
020811305000,2006,56.6
020811305000,2007,58.8
020811305000,2008,58.8
020811305000,2009,62.9
020811305000,2010,62.9
020811305000,2011,58.4
020811305000,2012,58.4
020811305000,2013,57.94
020811305000,2014,94.95
020811305000,2015,95.48
020811305000,2016,98.96
020811305000,2017,98.96
020811305000,2018,98.54
020811305000,2019,98.54
020811305000,2020,98.43
020811306000,2004,41.3
020811306000,2005,71.1
020811306000,2006,71.1
020811306000,2007,71.3
020811306000,2008,71.3
020811306000,2009,74.9
020811306000,2010,67.0
020811306000,2011,64.4
020811306000,2012,64.4
020811306000,2013,64.78
020811306000,2014,64.78
020811306000,2015,67.74
020811306000,2016,64.51
020811306000,2017,64.51
020811306000,2018,64.42
020811306000,2019,64.42
020811306000,2020,64.42
020811307000,2004,68.9
020811307000,2005,68.2
020811307000,2006,105.2
020811307000,2007,111.8
020811307000,2008,116.9
020811307000,2009,112.0
020811307000,2010,112.0
020811307000,2011,113.9
020811307000,2012,113.9
020811307000,2013,114.77
020811307000,2014,114.77
020811307000,2015,111.25
020811307000,2016,114.51
020811307000,2017,115.52
020811307000,2018,120.25
020811307000,2019,120.25
020811307000,2020,122.94
020811361000,2004,429.8
020811361000,2005,347.1
020811361000,2006,347.1
020811361000,2007,342.7
020811361000,2008,342.7
020811361000,2009,350.7
020811361000,2010,350.7
020811361000,2011,346.0
020811361000,2012,346.0
020811361000,2013,352.93
020811361000,2014,352.93
020811361000,2015,397.29
020811361000,2016,401.98
020811361000,2017,401.98
020811361000,2018,401.79
020811361000,2019,401.79
020811361000,2020,401.79
020811402000,2004,98.6
020811402000,2005,74.4
020811402000,2006,74.4
020811402000,2007,81.5
020811402000,2008,92.5
020811402000,2009,89.4
020811402000,2010,89.7
020811402000,2011,84.8
020811402000,2012,84.8
020811402000,2013,100.55
020811402000,2014,100.55
020811402000,2015,82.86
020811402000,2016,90.31
020811402000,2017,90.31
020811402000,2018,85.93
020811402000,2019,85.93
020811402000,2020,85.93
020811404000,2004,148.9
020811404000,2005,141.4
020811404000,2006,142.1
020811404000,2007,141.0
020811404000,2008,141.0
020811404000,2009,141.7
020811404000,2010,141.7
020811404000,2011,142.9
020811404000,2012,142.9
020811404000,2013,136.57
020811404000,2014,136.57
020811404000,2015,135.29
020811404000,2016,135.84
020811404000,2017,135.87
020811404000,2018,138.73
020811404000,2019,147.15
020811404000,2020,143.22
020811408000,2004,97.9
020811408000,2005,75.5
020811408000,2006,76.9
020811408000,2007,70.8
020811408000,2008,102.3
020811408000,2009,73.8
020811408000,2010,73.8
020811408000,2011,77.5
020811408000,2012,77.5
020811408000,2013,73.82
020811408000,2014,73.82
020811408000,2015,75.7
020811408000,2016,72.97
020811408000,2017,72.97
020811408000,2018,70.95
020811408000,2019,70.95
020811408000,2020,70.95
020811409000,2004,100.9
020811409000,2005,111.1
020811409000,2006,111.2
020811409000,2007,114.0
020811409000,2008,120.3
020811409000,2009,128.7
020811409000,2010,134.2
020811409000,2011,182.0
020811409000,2012,182.2
020811409000,2013,184.31
020811409000,2014,184.33
020811409000,2015,172.3
020811409000,2016,164.68
020811409000,2017,164.68
020811409000,2018,170.21
020811409000,2019,170.21
020811409000,2020,170.21
020811410000,2004,173.9
020811410000,2005,153.3
020811410000,2006,156.1
020811410000,2007,156.4
