ID_powiatu,year,p2013-hotele-kategorii-s
011212001000,1995,0
011212001000,1996,0
011212001000,1997,0
011212001000,1998,0
011212001000,1999,0
011212001000,2000,0
011212001000,2001,1
011212001000,2002,1
011212001000,2003,1
011212001000,2004,0
011212001000,2005,0
011212001000,2006,0
011212001000,2007,0
011212001000,2008,0
011212001000,2009,0
011212001000,2010,0
011212001000,2011,1
011212001000,2012,1
011212001000,2013,0
011212001000,2014,0
011212001000,2015,0
011212001000,2016,0
011212001000,2017,0
011212001000,2018,0
011212001000,2019,0
011212001000,2020,0
011212006000,1995,1
011212006000,1996,2
011212006000,1997,2
011212006000,1998,2
011212006000,1999,1
011212006000,2000,0
011212006000,2001,0
011212006000,2002,0
011212006000,2003,0
011212006000,2004,0
011212006000,2005,0
011212006000,2006,0
011212006000,2007,0
011212006000,2008,0
011212006000,2009,0
011212006000,2010,0
011212006000,2011,1
011212006000,2012,1
011212006000,2013,1
011212006000,2014,0
011212006000,2015,0
011212006000,2016,0
011212006000,2017,0
011212006000,2018,0
011212006000,2019,0
011212006000,2020,0
011212008000,1995,1
011212008000,1996,1
011212008000,1997,1
011212008000,1998,0
011212008000,1999,0
011212008000,2000,0
011212008000,2001,0
011212008000,2002,0
011212008000,2003,1
011212008000,2004,1
011212008000,2005,1
011212008000,2006,1
011212008000,2007,1
011212008000,2008,1
011212008000,2009,1
011212008000,2010,1
011212008000,2011,1
011212008000,2012,1
011212008000,2013,1
011212008000,2014,1
011212008000,2015,1
011212008000,2016,1
011212008000,2017,1
011212008000,2018,1
011212008000,2019,1
011212008000,2020,1
011212009000,1995,1
011212009000,1996,1
011212009000,1997,1
011212009000,1998,1
011212009000,1999,0
011212009000,2000,0
011212009000,2001,0
011212009000,2002,0
011212009000,2003,0
011212009000,2004,0
011212009000,2005,0
011212009000,2006,0
011212009000,2007,0
011212009000,2008,0
011212009000,2009,0
011212009000,2010,0
011212009000,2011,0
011212009000,2012,0
011212009000,2013,0
011212009000,2014,0
011212009000,2015,0
011212009000,2016,0
011212009000,2017,0
011212009000,2018,0
011212009000,2019,0
011212009000,2020,0
011212014000,1995,0
011212014000,1996,0
011212014000,1997,0
011212014000,1998,0
011212014000,1999,0
011212014000,2000,0
011212014000,2001,0
011212014000,2002,0
011212014000,2003,0
011212014000,2004,0
011212014000,2005,0
011212014000,2006,0
011212014000,2007,0
011212014000,2008,0
011212014000,2009,0
011212014000,2010,0
011212014000,2011,0
011212014000,2012,0
011212014000,2013,0
011212014000,2014,0
011212014000,2015,0
011212014000,2016,0
011212014000,2017,0
011212014000,2018,0
011212014000,2019,0
011212014000,2020,0
011212019000,1995,1
011212019000,1996,1
011212019000,1997,1
011212019000,1998,1
011212019000,1999,0
011212019000,2000,0
011212019000,2001,1
011212019000,2002,0
011212019000,2003,1
011212019000,2004,1
011212019000,2005,0
011212019000,2006,0
011212019000,2007,0
011212019000,2008,0
011212019000,2009,1
011212019000,2010,0
011212019000,2011,0
011212019000,2012,0
011212019000,2013,0
011212019000,2014,0
011212019000,2015,0
011212019000,2016,0
011212019000,2017,0
011212019000,2018,0
011212019000,2019,0
011212019000,2020,0
011212161000,1995,11
011212161000,1996,14
011212161000,1997,19
011212161000,1998,15
011212161000,1999,7
011212161000,2000,8
011212161000,2001,7
011212161000,2002,5
011212161000,2003,5
011212161000,2004,6
011212161000,2005,5
011212161000,2006,5
011212161000,2007,6
011212161000,2008,4
011212161000,2009,4
011212161000,2010,3
011212161000,2011,4
011212161000,2012,4
011212161000,2013,5
011212161000,2014,6
011212161000,2015,6
011212161000,2016,6
011212161000,2017,6
011212161000,2018,5
011212161000,2019,5
011212161000,2020,4
011212205000,1995,0
011212205000,1996,0
011212205000,1997,1
011212205000,1998,1
011212205000,1999,2
011212205000,2000,2
011212205000,2001,2
011212205000,2002,2
011212205000,2003,2
011212205000,2004,2
011212205000,2005,2
011212205000,2006,2
011212205000,2007,2
011212205000,2008,2
011212205000,2009,1
011212205000,2010,1
011212205000,2011,1
011212205000,2012,1
011212205000,2013,1
011212205000,2014,1
011212205000,2015,1
011212205000,2016,0
011212205000,2017,0
011212205000,2018,0
011212205000,2019,0
011212205000,2020,0
011212207000,1995,0
011212207000,1996,0
011212207000,1997,0
011212207000,1998,0
011212207000,1999,0
011212207000,2000,0
011212207000,2001,0
011212207000,2002,1
011212207000,2003,1
011212207000,2004,1
011212207000,2005,1
011212207000,2006,1
011212207000,2007,1
011212207000,2008,1
011212207000,2009,1
011212207000,2010,1
011212207000,2011,1
011212207000,2012,1
011212207000,2013,1
011212207000,2014,1
011212207000,2015,1
011212207000,2016,1
011212207000,2017,1
011212207000,2018,0
011212207000,2019,0
011212207000,2020,0
011212210000,1995,4
011212210000,1996,4
011212210000,1997,4
011212210000,1998,3
011212210000,1999,3
011212210000,2000,3
011212210000,2001,3
011212210000,2002,2
011212210000,2003,2
011212210000,2004,0
011212210000,2005,0
011212210000,2006,0
011212210000,2007,0
011212210000,2008,0
011212210000,2009,0
011212210000,2010,0
011212210000,2011,1
011212210000,2012,1
011212210000,2013,1
011212210000,2014,1
011212210000,2015,1
011212210000,2016,1
011212210000,2017,0
011212210000,2018,0
011212210000,2019,0
011212210000,2020,0
011212262000,1995,0
011212262000,1996,0
011212262000,1997,0
011212262000,1998,0
011212262000,1999,0
011212262000,2000,0
011212262000,2001,0
011212262000,2002,0
011212262000,2003,0
011212262000,2004,0
011212262000,2005,0
011212262000,2006,0
011212262000,2007,0
011212262000,2008,0
011212262000,2009,0
011212262000,2010,0
011212262000,2011,0
011212262000,2012,0
011212262000,2013,0
011212262000,2014,0
011212262000,2015,0
011212262000,2016,0
011212262000,2017,0
011212262000,2018,0
011212262000,2019,0
011212262000,2020,0
011212303000,1995,0
011212303000,1996,0
011212303000,1997,0
011212303000,1998,0
011212303000,1999,0
011212303000,2000,0
011212303000,2001,0
011212303000,2002,0
011212303000,2003,0
011212303000,2004,0
011212303000,2005,0
011212303000,2006,0
011212303000,2007,0
011212303000,2008,0
011212303000,2009,0
011212303000,2010,0
011212303000,2011,0
011212303000,2012,0
011212303000,2013,0
011212303000,2014,0
011212303000,2015,0
011212303000,2016,0
011212303000,2017,0
011212303000,2018,0
011212303000,2019,0
011212303000,2020,0
011212312000,1995,2
011212312000,1996,2
011212312000,1997,2
011212312000,1998,2
011212312000,1999,2
011212312000,2000,0
011212312000,2001,1
011212312000,2002,1
011212312000,2003,1
011212312000,2004,0
011212312000,2005,0
011212312000,2006,0
011212312000,2007,0
011212312000,2008,0
011212312000,2009,0
011212312000,2010,0
011212312000,2011,0
011212312000,2012,0
011212312000,2013,0
011212312000,2014,0
011212312000,2015,0
011212312000,2016,0
011212312000,2017,0
